日期,開盤價,最高價,最低價,收盤價,成交量
2025-08-20,206.0,206.5,200.0,200.5,124219182
2025-08-21,201.0,206.0,201.0,206.0,67845018
2025-08-22,208.0,208.0,202.0,202.5,54944456
2025-08-25,207.0,208.0,206.0,207.5,52074373
2025-08-26,207.0,209.0,206.0,209.0,42252559
2025-08-27,210.0,210.0,207.5,208.0,41852802
2025-08-28,207.5,207.5,204.0,206.0,48681221
2025-08-29,206.0,207.0,202.5,203.5,55250195
2025-09-01,203.0,204.5,197.0,198.5,70459817
2025-09-02,200.0,203.5,198.0,198.5,35779045
2025-09-03,198.5,201.0,197.0,200.5,34371962
2025-09-04,203.0,205.0,202.0,203.0,41864177
2025-09-05,205.5,206.5,203.0,205.0,39235404
2025-09-08,206.0,207.5,202.0,203.5,45711589
2025-09-09,204.5,208.0,204.0,207.5,64990917
2025-09-10,211.0,211.0,209.0,210.0,86104648
2025-09-11,212.0,216.5,209.0,214.5,133210297
2025-09-12,217.0,218.5,216.5,217.5,74001120
2025-09-15,218.5,218.5,213.0,216.0,56651315
2025-09-16,217.0,217.0,213.5,215.5,50810161
2025-09-17,214.0,214.5,211.0,212.0,57358177
2025-09-18,211.5,216.0,208.0,215.0,80554452
2025-09-19,216.5,217.0,214.0,214.0,60640765
2025-09-22,215.5,218.0,214.0,216.0,34758075
2025-09-23,218.0,222.0,217.5,221.0,106127922
2025-09-24,222.0,223.0,219.0,223.0,66406960
2025-09-25,223.0,231.0,222.5,230.0,126590277
